@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
121,'2020/09/18 11:14:51:027',24,62.763969,2
122,'2020/09/18 11:14:51:584',24,49.953182,2
123,'2020/09/18 11:14:51:677',24,63.741798,2
124,'2020/09/18 11:14:52:048',24,51.827282,2
125,'2020/09/18 11:14:52:142',24,42.474754,2
126,'2020/09/18 11:14:52:420',24,64.848351,2
127,'2020/09/18 11:14:52:792',24,52.843922,2
128,'2020/09/18 11:14:52:884',24,64.899139,2
129,'2020/09/18 11:14:53:163',24,65.779938,2
130,'2020/09/18 11:14:53:813',24,66.872047,2
131,'2020/09/18 11:14:54:463',24,47.970783,2
132,'2020/09/18 11:14:54:649',24,67.952629,2
133,'2020/09/18 11:14:55:206',24,48.746887,2
134,'2020/09/18 11:14:59:664',25,69.126976,3
135,'2020/09/18 11:15:00:314',25,50.028587,3
136,'2020/09/18 11:15:00:407',25,70.013741,3
137,'2020/09/18 11:15:01:058',25,71.029663,3
138,'2020/09/18 11:15:01:615',25,72.030769,3
139,'2020/09/18 11:15:02:079',25,41.443771,3
140,'2020/09/18 11:15:02:265',25,72.703674,3
141,'2020/09/18 11:15:02:636',25,61.594032,3
142,'2020/09/18 11:15:02:915',25,73.785057,3
143,'2020/09/18 11:15:03:751',25,74.733116,3
144,'2020/09/18 11:15:08:488',26,41.093174,4
145,'2020/09/18 11:15:09:138',26,76.007431,4
146,'2020/09/18 11:15:09:881',26,76.979065,4
147,'2020/09/18 11:15:10:345',26,43.100342,4
148,'2020/09/18 11:15:10:531',26,78.099831,4
149,'2020/09/18 11:15:10:810',26,43.017262,4
150,'2020/09/18 11:15:11:181',26,78.851563,4
151,'2020/09/18 11:15:11:645',26,42.855194,4
152,'2020/09/18 11:15:11:924',26,79.826714,4
153,'2020/09/18 11:15:12:667',26,80.819756,4
154,'2020/09/18 11:15:13:596',26,81.580376,4
155,'2020/09/18 11:15:14:246',26,81.959167,4
156,'2020/09/18 11:15:14:617',26,42.871067,4
157,'2020/09/18 12:30:15:151',29,50.837894,5
158,'2020/09/18 12:30:15:244',29,47.585728,5
159,'2020/09/18 12:30:16:266',29,62.00375,5
160,'2020/09/18 12:30:16:359',29,49.804485,5
161,'2020/09/18 12:30:17:009',29,49.962433,5
162,'2020/09/18 12:30:17:566',29,49.982727,5
163,'2020/09/18 12:30:18:123',29,47.205387,5
164,'2020/09/18 12:39:41:000',31,58.421375,5
165,'2020/09/18 12:39:41:093',31,42.656479,5
166,'2020/09/18 12:39:41:928',31,50.083244,5
167,'2020/09/18 12:39:42:393',31,62.178806,5
168,'2020/09/18 12:39:42:486',31,50.157085,5
169,'2020/09/18 12:39:43:507',31,40.481628,5
170,'2020/09/18 12:39:43:600',31,54.711426,5
171,'2020/09/18 12:39:43:693',31,50.450619,5
172,'2020/09/18 12:39:43:786',31,62.061337,5
173,'2020/09/18 12:39:43:879',31,49.941315,5
174,'2020/09/18 12:39:44:343',31,46.200748,5
175,'2020/09/18 12:39:44:529',31,50.284824,5
176,'2020/09/18 12:39:44:622',31,42.98769,5
177,'2020/09/18 12:39:44:808',31,49.895905,5
178,'2020/09/18 12:39:45:550',31,49.770744,5
179,'2020/09/18 12:39:46:665',31,62.07299,5
180,'2020/09/18 12:39:47:130',31,42.396645,5
181,'2020/09/18 12:39:47:222',31,50.387432,5
182,'2020/09/18 12:39:47:873',31,52.530052,5
